index_column,time,dt,yaw,pitch,roll,displacement_north,displacement_east,altitude_geometric,geodetic_lat
926,2.659494,9.49999999875217e-05,-84.7759161675987,-84.7759161675987,-84.7759161675987,-0.323004799485978,0.123408129564059,0.0217108922447561,-36.4823
927,2.65958899999998,9.70000000393156e-05,-84.8047186106289,-84.8047186106289,-84.8047186106289,-0.323005860765859,0.123404065242114,0.0217103749094691,-36.4823
928,2.65968600000002,5.09999999849242e-05,-84.8038026379035,-84.8038026379035,-84.8038026379035,-0.323005860765859,0.123404065242114,0.0217103749094691,-36.4823
929,2.65973700000001,0.000235999999972591,-84.8074299152526,-84.8074299152526,-84.8074299152526,-0.323455177304126,0.123669175170668,0.0218635780917684,-36.4823
930,2.65997299999998,9.70000000393156e-05,-84.8074299137835,-84.8074299137835,-84.8074299137835,-0.323455171856737,0.123669172532582,0.0213873857177589,-36.4823
931,2.66007000000002,9.29999999925712e-05,-84.823051935488,-84.823051935488,-84.823051935488,-0.323454794433077,0.123667838630949,0.021387234709892,-36.4823
932,2.66016300000001,5.49999999748252e-05,-84.8221213930619,-84.8221213930619,-84.8221213930619,-0.323454794433077,0.123667838630949,0.021387234709892,-36.4823
933,2.66021799999999,0.00022999999998774,-84.8257179692896,-84.8257179692896,-84.8257179692896,-0.323894577470602,0.123927582241239,0.0215372797504264,-36.4823
934,2.66044799999997,9.60000000418404e-05,-84.8257179678394,-84.8257179678394,-84.8257179678394,-0.323894572023431,0.123927579603395,0.0210603361916582,-36.4823
935,2.66054400000002,9.69999999824722e-05,-84.8342388200914,-84.8342388200914,-84.8342388200914,-0.32389423849826,0.123927203233243,0.0210603443104297,-36.4823
936,2.660641,5.09999999849242e-05,-84.8333226068122,-84.8333226068122,-84.8333226068122,-0.32389423849826,0.123927203233243,0.0210603443104297,-36.4823
937,2.66069199999998,0.000236000000029435,-84.8368906720117,-84.8368906720117,-84.8368906720117,-0.324324781523039,0.124181628191413,0.0212072307283645,-36.4823
938,2.66092800000001,9.1999999995096e-05,-84.8368906705809,-84.8368906705809,-84.8368906705809,-0.324324776076298,0.12418162555391,0.020729555990717,-36.4823
939,2.66102000000001,9.69999999824722e-05,-84.8415616029951,-84.8415616029951,-84.8415616029951,-0.324324785597618,0.124181659959476,0.0207296651356251,-36.4823
940,2.66111699999999,5.60000000291438e-05,-84.8406422392026,-84.8406422392026,-84.8406422392026,-0.324324785597618,0.124181659959476,0.0207296651356251,-36.4823
941,2.66117300000002,0.000228999999990265,-84.8441774409882,-84.8441774409882,-84.8441774409882,-0.324746411199641,0.124430887555117,0.0208734508779128,-36.4823
942,2.66140200000001,9.49999999875217e-05,-84.8441774395801,-84.8441774395801,-84.8441774395801,-0.324746405753256,0.124430884917916,0.0203950398548017,-36.4823
943,2.661497,9.79999999799475e-05,-84.8467565891328,-84.8467565891328,-84.8467565891328,-0.324746731538741,0.124431131074826,0.0203952203663595,-36.4823
944,2.66159499999998,5.10000000417676e-05,-84.8458359622926,-84.8458359622926,-84.8458359622926,-0.324746731538741,0.124431131074826,0.0203952203663595,-36.4823
945,2.66164600000002,0.00235399999996844,-84.8493335181262,-84.8493335181262,-84.8493335181262,-0.325159730498852,0.124675295299818,0.0205359780947875,-36.4823
946,2.66399999999999,9.00000000001455e-05,-84.849333516744,-84.849333516744,-84.849333516744,-0.32515972505306,0.124675292663033,0.0200568529447334,-36.4823
947,2.66408999999999,9.80000000367909e-05,-84.8518873594814,-84.8518873594814,-84.8518873594814,-0.325160313542193,0.124675675776326,0.0200570983085282,-36.4823
948,2.66418800000002,5.49999999748252e-05,-84.8468934983818,-84.8468934983818,-84.8468934983818,-0.325160313542193,0.124675675776326,0.0200570983085282,-36.4823
949,2.664243,0.00975499999998419,-84.8503510905351,-84.8503510905351,-84.8503510905351,-0.325565319613198,0.124915085788748,0.0201951287287356,-36.4823
950,2.67399799999998,9.00000000001455e-05,-84.8503510891698,-84.8503510891698,-84.8503510891698,-0.325565314121792,0.124915083129913,0.0197112374119565,-36.4823
951,2.67408799999998,9.80000000367909e-05,-84.865950400051,-84.865950400051,-84.865950400051,-0.325566709594854,0.124915770787303,0.0197117598434282,-36.4823
952,2.67418600000002,5.09999999849242e-05,-84.8468089352123,-84.8468089352123,-84.8468089352123,-0.325566709594854,0.124915770787303,0.0197117598434282,-36.4823
953,2.67423700000001,0.000236999999970067,-84.8502175385821,-84.8502175385821,-84.8502175385821,-0.325965759385941,0.125151446212668,0.0198480646973162,-36.4823
954,2.67447399999998,0.261376000000041,-84.8502175372017,-84.8502175372017,-84.8502175372017,-0.325965753690864,0.125151443454927,0.019345510484094,-36.4823
955,2.93585000000002,9.1999999995096e-05,-84.8502175372017,-84.8502175372017,-84.8502175372017,-0.325965753690864,0.125151443454927,0.019345510484094,-36.4823
956,2.93594200000001,0.000102999999967324,-84.8059955733013,-84.8059955733013,-84.8059955733013,-0.325519795420967,0.125219714382607,0.0193482036553268,-36.4823
957,2.93604499999998,5.10000000417676e-05,-84.2808246759355,-84.2808246759355,-84.2808246759355,-0.325519795420967,0.125219714382607,0.0193482036553268,-36.4823
958,2.93609600000002,0.000340999999991709,-84.284682748085,-84.284682748085,-84.284682748085,-0.325999764559829,0.125478609739497,0.0195118281994942,-36.4823
959,2.93643700000001,0.000185999999985142,-84.2846827447746,-84.2846827447746,-84.2846827447746,-0.325999752694785,0.125478603975511,0.018458786593107,-36.4823
960,2.936623,9.79999999799475e-05,-84.2846827447746,-84.2846827447746,-84.2846827447746,-0.325999752694785,0.125478603975511,0.018458786593107,-36.4823
961,2.93672099999998,9.80000000367909e-05,-84.5016519865574,-84.5016519865574,-84.5016519865574,-0.325984696875345,0.125115269038889,0.0184787834863652,-36.4823
962,2.93681900000001,4.9999999987449e-05,-84.5000888418874,-84.5000888418874,-84.5000888418874,-0.325984696875345,0.125115269038889,0.0184787834863652,-36.4823
963,2.936869,0.000238000000024385,-84.5037840358817,-84.5037840358817,-84.5037840358817,-0.326453171418657,0.125375196874153,0.0186445633331385,-36.4823
964,2.93710700000003,9.09999999976208e-05,-84.5037840327806,-84.5037840327806,-84.5037840327806,-0.326453159601253,0.125375191133417,0.0175942788464424,-36.4823
965,2.93719800000002,9.79999999799475e-05,-84.6206415976466,-84.6206415976466,-84.6206415976466,-0.326438790041873,0.125267521249745,0.0175999684840245,-36.4823
966,2.937296,5.09999999849242e-05,-84.6196851983323,-84.6196851983323,-84.6196851983323,-0.326438790041873,0.125267521249745,0.0175999684840245,-36.4823
967,2.93734699999999,0.000234000000034484,-84.6231936906198,-84.6231936906198,-84.6231936906198,-0.326892595382682,0.12552323682924,0.0177637775748961,-36.4823
968,2.93758100000002,9.39999999900465e-05,-84.6231936876997,-84.6231936876997,-84.6231936876997,-0.326892583606365,0.125523231108576,0.0167157048153986,-36.4823
969,2.93767500000001,9.39999999900465e-05,-84.6861475334192,-84.6861475334192,-84.6861475334192,-0.326881943715419,0.125490270406602,0.0167168931559828,-36.4823
970,2.937769,5.49999999748252e-05,-84.6851918971555,-84.6851918971555,-84.6851918971555,-0.326881943715419,0.125490270406602,0.0167168931559828,-36.4823
